id,id_name,sex,age,Ort,Gründungsjahr
ra,Rocio Aleman,1,4,Mexiko,NA
eb,Elisa Badenes,1,4,Spanien,NA
mb,Mackenzie Brown,1,2,USA,NA
mk,Miriam Kacerova,1,NA,Slowakei,NA
Monterrey,Escuela superior de Música y Danza de Monterrey,NA,NA,Mexiko,2
Stuttgart,John Cranko Schule,NA,NA,Deutschland,2
Valenzia,Conservatorio Profesional de Danza de Valenzia,NA,NA,Spanien,4
London,Royal Ballett School,NA,NA,England,2
Virginia,Classical Ballet of Fredericksburg,NA,NA,USA,NA
Monaco,Académie de Danse Classique Princess Grace,NA,NA,Frankreich,3
Bratislava,Konservatorium für Tanz,NA,NA,Slowakei,2
Zürich,Ballettschule für das Opernhaus Zürich,NA,NA,Schweiz,3
ao,Anna Osadcenko,1,NA,Kasachstan,NA
Almaty,Academic A B Selesnew,NA,NA,Kasachstan,1934
